wind_penetration_label,peak_load_pu,step_number,LOLE_hours_per_year,benchmark_100step_LOLE,absolute_error_vs_100step,relative_error_vs_100step_percent
10pct_reference,0.92,100,0.18418964415920897,0.18418964415920897,0.0,0.0
10pct_reference,0.92,10,0.18327391142332825,0.18418964415920897,-0.0009157327358807199,-0.49716841577107523
10pct_reference,0.92,6,0.18090684573687424,0.18418964415920897,-0.003282798422334726,-1.7822926133117214
10pct_reference,0.92,5,0.18475015811496345,0.18418964415920897,0.000560513955754488,0.30431350161575516
10pct_reference,0.92,2,0.20106764402949445,0.18418964415920897,0.016877999870285487,9.163381550211673
10pct_reference,0.95,100,0.32862068415973594,0.32862068415973594,0.0,0.0
10pct_reference,0.95,10,0.3333753748723515,0.32862068415973594,0.0047546907126155835,1.4468628853272132
10pct_reference,0.95,6,0.33580533562374737,0.32862068415973594,0.007184651464011427,2.186305308925445
10pct_reference,0.95,5,0.3448797493207103,0.32862068415973594,0.016259065160974362,4.947669439173572
10pct_reference,0.95,2,0.3821396914912147,0.32862068415973594,0.05351900733147874,16.285952136069508
10pct_reference,0.98,100,0.5593476717385487,0.5593476717385487,0.0,0.0
10pct_reference,0.98,10,0.5605523466749885,0.5593476717385487,0.0012046749364398313,0.21537140446039482
10pct_reference,0.98,6,0.5530522457545846,0.5593476717385487,-0.0062954259839641535,-1.125494268063526
10pct_reference,0.98,5,0.5664060667712129,0.5593476717385487,0.007058395032664144,1.2618976334925
10pct_reference,0.98,2,0.6204349143121142,0.5593476717385487,0.06108724257356546,10.921157923782147
10pct_reference,1.0,100,0.8074873891678929,0.8074873891678929,0.0,0.0
10pct_reference,1.0,10,0.8270337766445449,0.8074873891678929,0.01954638747665205,2.420643063762815
10pct_reference,1.0,6,0.8273347346918641,0.8074873891678929,0.01984734552397127,2.4579139922449746
10pct_reference,1.0,5,0.8444557389450137,0.8074873891678929,0.036968349777120824,4.578195309677382
10pct_reference,1.0,2,0.9298823178493276,0.8074873891678929,0.12239492868143476,15.157503426469784
10pct_reference,1.02,100,1.0937544713561564,1.0937544713561564,0.0,0.0
10pct_reference,1.02,10,1.085152194444973,1.0937544713561564,-0.008602276911183537,-0.7864906737722858
10pct_reference,1.02,6,1.073335972064465,1.0937544713561564,-0.020418499291691372,-1.866826589186354
10pct_reference,1.02,5,1.0889209474201718,1.0937544713561564,-0.004833523935984685,-0.44192038181947296
10pct_reference,1.02,2,1.1951625018995877,1.0937544713561564,0.10140803054343128,9.27155346096044
10pct_reference,1.05,100,1.7903888587731556,1.7903888587731556,0.0,0.0
10pct_reference,1.05,10,1.796578226827729,1.7903888587731556,0.006189368054573485,0.34569965201943237
10pct_reference,1.05,6,1.7953526603719143,1.7903888587731556,0.004963801598758755,0.2772471228490634
10pct_reference,1.05,5,1.8343107522514623,1.7903888587731556,0.04392189347830677,2.4532041328945584
10pct_reference,1.05,2,2.0157023537162857,1.7903888587731556,0.22531349494313013,12.584612210864837
15pct,0.92,100,0.16821765410213785,0.16821765410213785,0.0,0.0
15pct,0.92,10,0.166781938567008,0.16821765410213785,-0.0014357155351298612,-0.8534868369155405
15pct,0.92,6,0.1648702695445806,0.16821765410213785,-0.003347384557557259,-1.9899127564368513
15pct,0.92,5,0.16913643245913326,0.16821765410213785,0.0009187783569954144,0.5461842646061118
15pct,0.92,2,0.18348096054239296,0.16821765410213785,0.015263306440255114,9.073546127915675
15pct,0.95,100,0.29963369966650244,0.29963369966650244,0.0,0.0
15pct,0.95,10,0.299233929567288,0.29963369966650244,-0.00039977009921443596,-0.1334196052244414
15pct,0.95,6,0.29611343592526024,0.29963369966650244,-0.003520263741242202,-1.1748557472541699
15pct,0.95,5,0.30435197459509994,0.29963369966650244,0.004718274928597499,1.5746809967800757
15pct,0.95,2,0.3319611705576542,0.29963369966650244,0.03232747089115173,10.788997007724022
15pct,0.98,100,0.5108367799435379,0.5108367799435379,0.0,0.0
15pct,0.98,10,0.522384569905876,0.5108367799435379,0.011547789962338073,2.2605635333490346
15pct,0.98,6,0.5265684732158414,0.5108367799435379,0.015731693272303504,3.079592913032281
15pct,0.98,5,0.5442629815334128,0.5108367799435379,0.03342620158987486,6.543421089133286
15pct,0.98,2,0.6014047623651592,0.5108367799435379,0.09056798242162123,17.729338602367587
15pct,1.0,100,0.7438232743001114,0.7438232743001114,0.0,0.0
15pct,1.0,10,0.7419673456052278,0.7438232743001114,-0.0018559286948836018,-0.24951204930094562
15pct,1.0,6,0.7285204974464264,0.7438232743001114,-0.015302776853684974,-2.057313528954021
15pct,1.0,5,0.7479944403774766,0.7438232743001114,0.004171166077365229,0.560773804945808
15pct,1.0,2,0.8116323326189842,0.7438232743001114,0.06780905831887274,9.116286174653057
15pct,1.02,100,1.002784231148302,1.002784231148302,0.0,0.0
15pct,1.02,10,1.0224525088179772,1.002784231148302,0.01966827766967527,1.9613668682397267
15pct,1.02,6,1.0327551916044813,1.002784231148302,0.029970960456179307,2.9887746062639167
15pct,1.02,5,1.068736946504494,1.002784231148302,0.06595271535619207,6.576959759395969
15pct,1.02,2,1.1912502523847277,1.002784231148302,0.18846602123642575,18.794274519116712
15pct,1.05,100,1.631922825383764,1.631922825383764,0.0,0.0
15pct,1.05,10,1.6178110078926453,1.631922825383764,-0.014111817491118783,-0.8647355911453862
15pct,1.05,6,1.6009808258988532,1.631922825383764,-0.030941999484910943,-1.896045511688618
15pct,1.05,5,1.6417308433390583,1.631922825383764,0.00980801795529418,0.6010099131365308
15pct,1.05,2,1.791039353351764,1.631922825383764,0.1591165279679998,9.750248326270077
1pct_optional,0.92,100,0.23148645078134178,0.23148645078134178,0.0,0.0
1pct_optional,0.92,10,0.23078307270004736,0.23148645078134178,-0.0007033780812944201,-0.30385280819689064
1pct_optional,0.92,6,0.23078254826774666,0.23148645078134178,-0.0007039025135951171,-0.3040793580873602
1pct_optional,0.92,5,0.23059475541620278,0.23148645078134178,-0.0008916953651390003,-0.3852041284184191
1pct_optional,0.92,2,0.23726649935453492,0.23148645078134178,0.005780048573193142,2.4969273811420085
1pct_optional,0.95,100,0.41017960424387184,0.41017960424387184,0.0,0.0
1pct_optional,0.95,10,0.40833050224077894,0.41017960424387184,-0.0018491020030929062,-0.45080301018417396
1pct_optional,0.95,6,0.413089802764543,0.41017960424387184,0.002910198520671148,0.7094937170354507
1pct_optional,0.95,5,0.4084124575272039,0.41017960424387184,-0.0017671467166679444,-0.43082266850530415
1pct_optional,0.95,2,0.41912287056483366,0.41017960424387184,0.008943266320961818,2.180329355343716
1pct_optional,0.98,100,0.6900565229275865,0.6900565229275865,0.0,0.0
1pct_optional,0.98,10,0.6790921268812611,0.6900565229275865,-0.010964396046325375,-1.5889127458441492
1pct_optional,0.98,6,0.6792006461156131,0.6900565229275865,-0.010855876811973308,-1.5731866088182038
1pct_optional,0.98,5,0.676700297416907,0.6900565229275865,-0.013356225510679498,-1.9355263035577566
1pct_optional,0.98,2,0.6878620595944208,0.6900565229275865,-0.0021944633331656416,-0.3180121135375349
1pct_optional,1.0,100,1.0058913970698677,1.0058913970698677,0.0,0.0
1pct_optional,1.0,10,1.0083639979693249,1.0058913970698677,0.0024726008994571114,0.24581191435374886
1pct_optional,1.0,6,1.0205673449045638,1.0058913970698677,0.014675947834696057,1.4589992396243434
1pct_optional,1.0,5,1.0114325859484259,1.0058913970698677,0.005541188878558145,0.5508734734882381
1pct_optional,1.0,2,1.0375798495635316,1.0058913970698677,0.03168845249366381,3.150285665626662
1pct_optional,1.02,100,1.3406075019117538,1.3406075019117538,0.0,0.0
1pct_optional,1.02,10,1.3488837011172539,1.3406075019117538,0.008276199205500046,0.6173469262030752
1pct_optional,1.02,6,1.3320399994739378,1.3406075019117538,-0.00856750243781601,-0.6390761222504311
1pct_optional,1.02,5,1.339598234413875,1.3406075019117538,-0.0010092674978787741,-0.07528433911040502
1pct_optional,1.02,2,1.3591522984110485,1.3406075019117538,0.018544796499294636,1.3833128990289176
1pct_optional,1.05,100,2.1945896094116426,2.1945896094116426,0.0,0.0
1pct_optional,1.05,10,2.1841363254250896,2.1945896094116426,-0.010453283986552986,-0.4763206725176947
1pct_optional,1.05,6,2.2036606052170176,2.1945896094116426,0.00907099580537496,0.41333449162765534
1pct_optional,1.05,5,2.190418995169766,2.1945896094116426,-0.004170614241876702,-0.19004073581642542
1pct_optional,1.05,2,2.246656978469926,2.1945896094116426,0.052067369058283575,2.3725332898228086
